zip;city;state_id;state_name;population;county_name
00601;Adjuntas;PR;Puerto Rico;17242;Adjuntas
00602;Aguada;PR;Puerto Rico;38442;Aguada
00603;Aguadilla;PR;Puerto Rico;48814;Aguadilla
00606;Maricao;PR;Puerto Rico;6437;Maricao
00610;Anasco;PR;Puerto Rico;27073;Añasco
00612;Arecibo;PR;Puerto Rico;60303;Arecibo
00616;Bajadero;PR;Puerto Rico;10765;Arecibo
00617;Barceloneta;PR;Puerto Rico;23974;Barceloneta
00622;Boqueron;PR;Puerto Rico;6578;Cabo Rojo
00623;Cabo Rojo;PR;Puerto Rico;42427;Cabo Rojo
00624;Penuelas;PR;Puerto Rico;22707;Peñuelas
00627;Camuy;PR;Puerto Rico;32222;Camuy
00631;Castaner;PR;Puerto Rico;1568;Lares
00637;Sabana Grande;PR;Puerto Rico;22975;Sabana Grande
00638;Ciales;PR;Puerto Rico;16701;Ciales
00641;Utuado;PR;Puerto Rico;27571;Utuado
00646;Dorado;PR;Puerto Rico;37494;Dorado
00647;Ensenada;PR;Puerto Rico;5643;Guánica
00650;Florida;PR;Puerto Rico;14760;Florida
00652;Garrochales;PR;Puerto Rico;3697;Arecibo
00653;Guanica;PR;Puerto Rico;11140;Guánica
00656;Guayanilla;PR;Puerto Rico;18979;Guayanilla
00659;Hatillo;PR;Puerto Rico;40390;Hatillo
00660;Hormigueros;PR;Puerto Rico;16180;Hormigueros
00662;Isabela;PR;Puerto Rico;40290;Isabela
00664;Jayuya;PR;Puerto Rico;14991;Jayuya
00667;Lajas;PR;Puerto Rico;23590;Lajas
00669;Lares;PR;Puerto Rico;25653;Lares
00670;Las Marias;PR;Puerto Rico;8498;Las Marías
00674;Manati;PR;Puerto Rico;39859;Manatí
00676;Moca;PR;Puerto Rico;36995;Moca
00677;Rincon;PR;Puerto Rico;14311;Rincón
00678;Quebradillas;PR;Puerto Rico;26091;Quebradillas
00680;Mayaguez;PR;Puerto Rico;46395;Mayagüez
00682;Mayaguez;PR;Puerto Rico;32359;Mayagüez
00683;San German;PR;Puerto Rico;30424;San Germán
00685;San Sebastian;PR;Puerto Rico;38039;San Sebastián
00687;Morovis;PR;Puerto Rico;31320;Morovis
00688;Sabana Hoyos;PR;Puerto Rico;12202;Arecibo
00690;San Antonio;PR;Puerto Rico;5352;Aguadilla
00692;Vega Alta;PR;Puerto Rico;35840;Vega Alta
00693;Vega Baja;PR;Puerto Rico;54428;Vega Baja
00694;Vega Baja;PR;Puerto Rico;69;Vega Baja
00698;Yauco;PR;Puerto Rico;36312;Yauco
00703;Aguas Buenas;PR;Puerto Rico;26320;Aguas Buenas
00704;Aguirre;PR;Puerto Rico;8274;Salinas
00705;Aibonito;PR;Puerto Rico;23176;Aibonito
00707;Maunabo;PR;Puerto Rico;10964;Maunabo
00714;Arroyo;PR;Puerto Rico;17998;Arroyo
00715;Mercedita;PR;Puerto Rico;2972;Ponce
00716;Ponce;PR;Puerto Rico;28089;Ponce
00717;Ponce;PR;Puerto Rico;16659;Ponce
00718;Naguabo;PR;Puerto Rico;25715;Naguabo
00719;Naranjito;PR;Puerto Rico;29119;Naranjito
00720;Orocovis;PR;Puerto Rico;21276;Orocovis
00723;Patillas;PR;Puerto Rico;17393;Patillas
00725;Caguas;PR;Puerto Rico;80555;Caguas
00727;Caguas;PR;Puerto Rico;54823;Caguas
00728;Ponce;PR;Puerto Rico;39698;Ponce
00729;Canovanas;PR;Puerto Rico;51593;Canóvanas
00730;Ponce;PR;Puerto Rico;31634;Ponce
00731;Ponce;PR;Puerto Rico;12722;Ponce
00735;Ceiba;PR;Puerto Rico;12404;Ceiba
