name;count
2nd Street;8289
3rd Street;7591
Main Street;7249
1st Street;7117
4th Street;6424
Oak Street;6374
Elm Street;5946
Pine Street;5872
Church Street;5384
Maple Street;5314
5th Street;5277
Walnut Street;4897
6th Street;4477
Washington Street;3759
7th Street;3712
Cedar Street;3355
Park Avenue;3351
Center Street;3333
High Street;3205
8th Street;3131
Park Street;3063
Chestnut Street;2988
North Street;2920
Sunset Drive;2903
Lakeview Drive;2775
Cherry Street;2774
Railroad Street;2765
Circle Drive;2737
South Street;2710
Mill Street;2646
Spring Street;2581
9th Street;2581
River Road;2564
2nd Avenue;2552
School Street;2512
Spruce Street;2500
Jackson Street;2494
Ridge Road;2480
West Street;2421
Jefferson Street;2416
Meadow Lane;2397
3rd Avenue;2346
10th Street;2326
1st Avenue;2314
Lincoln Street;2249
Short Street;2189
Railroad Avenue;2188
Hill Street;2183
Locust Street;2175
Water Street;2170
Ash Street;2093
Shady Lane;2086
Maple Avenue;2083
Front Street;2044
Highland Avenue;2024
Poplar Street;2023
East Street;2003
11th Street;1980
Franklin Street;1972
Central Avenue;1962
Vine Street;1954
Washington Avenue;1950
4th Avenue;1945
Adams Street;1917
Willow Street;1912
5th Avenue;1900
Lincoln Avenue;1896
Cemetery Road;1885
Woodland Drive;1874
Grove Street;1867
Grant Street;1866
Park Drive;1828
Birch Street;1820
North Main Street;1788
Hillcrest Drive;1773
West 2nd Street;1773
East 3rd Street;1767
East 2nd Street;1743
West 3rd Street;1738
12th Street;1713
Pearl Street;1700
Madison Street;1687
South Main Street;1682
North 3rd Street;1673
Hickory Street;1666
Charles Street;1662
West 4th Street;1653
Green Street;1635
East 4th Street;1630
Lakeside Drive;1623
North 2nd Street;1621
Clark Street;1609
Cedar Lane;1607
Monroe Street;1603
Union Street;1588
Riverside Drive;1586
Hillside Drive;1585
State Street;1578
Fairway Drive;1574
South 3rd Street;1568
Smith Street;1558
South 2nd Street;1547
James Street;1546
Airport Road;1541
North 4th Street;1541
Lake Drive;1518
A Street;1513
West 5th Street;1512
East 5th Street;1502
West Main Street;1496
Dogwood Lane;1494
B Street;1482
South 4th Street;1480
Williams Street;1472
13th Street;1471
East Main Street;1470
Lake Street;1467
Wilson Street;1463
Smith Road;1460
6th Avenue;1458
North 5th Street;1437
Market Street;1435
14th Street;1418
Lakeshore Drive;1417
Sycamore Street;1400
