make;model;year;version;body_type;cylinders;engine_size_l;power_hp;torque_lbf_ft;drive_type;transmission;engine_type
BMW;3 Series;1990;325i;Convertible;I6;2,5;168;164;rear wheel drive;5-speed manual;gas
BMW;3 Series;1990;325i;Sedan;I6;2,5;168;164;rear wheel drive;5-speed manual;gas
BMW;3 Series;1990;325iX;Sedan;I6;2,5;168;164;all wheel drive;5-speed manual;gas
BMW;3 Series;1990;325is;Coupe;I6;2,5;168;164;rear wheel drive;5-speed manual;gas
BMW;3 Series;1990;325i;Coupe;I6;2,5;168;164;rear wheel drive;5-speed manual;gas
BMW;3 Series;1990;325iX;Coupe;I6;2,5;168;164;all wheel drive;5-speed manual;gas
BMW;3 Series;1990;M3;Coupe;I4;2,3;192;170;rear wheel drive;5-speed manual;gas
BMW;3 Series;1994;318i;Convertible;I4;1,8;138;129;rear wheel drive;5-speed manual;gas
BMW;3 Series;1994;325i;Convertible;I6;2,5;189;181;rear wheel drive;5-speed manual;gas
BMW;3 Series;1994;318i;Sedan;I4;1,8;138;129;rear wheel drive;5-speed manual;gas
BMW;3 Series;1994;325i;Sedan;I6;2,5;189;181;rear wheel drive;5-speed manual;gas
BMW;3 Series;1994;318is;Coupe;I4;1,8;138;129;rear wheel drive;5-speed manual;gas
BMW;3 Series;1994;325is;Coupe;I6;2,5;189;181;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;318i;Sedan;I4;1,9;138;133;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;328i;Sedan;I6;2,8;193;206;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;318ti;Hatchback;I4;1,9;138;133;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;323i;Convertible;I6;2,5;168;181;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;328i;Convertible;I6;2,8;190;206;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;323is;Coupe;I6;2,5;168;181;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;328is;Coupe;I6;2,8;190;206;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;M3;Sedan;I6;3,2;240;236;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;M3;Coupe;I6;3,2;240;236;rear wheel drive;5-speed manual;gas
BMW;3 Series;1998;M3;Convertible;I6;3,2;240;236;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;325i;Sedan;I6;2,5;184;175;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;330i;Sedan;I6;3;225;214;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;325xi;Sedan;I6;2,5;184;175;all wheel drive;5-speed manual;gas
BMW;3 Series;2002;330xi;Sedan;I6;3;225;214;all wheel drive;5-speed manual;gas
BMW;3 Series;2002;325Ci;Coupe;I6;2,5;184;175;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;330Ci;Coupe;I6;3;225;214;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;325i;Wagon;I6;2,5;184;175;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;325xi;Wagon;I6;2,5;184;175;all wheel drive;5-speed manual;gas
BMW;3 Series;2002;325Ci;Convertible;I6;2,5;184;175;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;330Ci;Convertible;I6;3;225;214;rear wheel drive;5-speed manual;gas
BMW;3 Series;2002;M3;Coupe;I6;3,2;333;262;rear wheel drive;6-speed manual;gas
BMW;3 Series;2002;M3;Convertible;I6;3,2;333;262;rear wheel drive;6-speed manual;gas
BMW;3 Series;2006;325i;Sedan;I6;3;215;185;rear wheel drive;6-speed manual;gas
BMW;3 Series;2006;325xi;Sedan;I6;3;215;185;all wheel drive;6-speed manual;gas
BMW;3 Series;2006;330i;Sedan;I6;3;255;220;rear wheel drive;6-speed manual;gas
BMW;3 Series;2006;330xi;Sedan;I6;3;255;220;all wheel drive;6-speed manual;gas
BMW;3 Series;2006;325Ci;Coupe;I6;2,5;184;175;rear wheel drive;5-speed manual;gas
BMW;3 Series;2006;330Ci;Coupe;I6;3;225;214;rear wheel drive;6-speed manual;gas
BMW;3 Series;2006;325xi;Wagon;I6;3;215;185;all wheel drive;6-speed manual;gas
BMW;3 Series;2006;325Ci;Convertible;I6;2,5;184;175;rear wheel drive;5-speed manual;gas
BMW;3 Series;2006;330Ci;Convertible;I6;3;225;214;rear wheel drive;6-speed manual;gas
BMW;3 Series;2006;M3;Coupe;I6;3,2;333;262;rear wheel drive;6-speed manual;gas
BMW;3 Series;2006;M3;Convertible;I6;3,2;333;262;rear wheel drive;6-speed manual;gas
BMW;3 Series;2010;328i;Sedan;I6;3;230;200;rear wheel drive;6-speed manual;gas
BMW;3 Series;2010;328i xDrive;Sedan;I6;3;230;200;all wheel drive;6-speed manual;gas
BMW;3 Series;2010;335i;Sedan;I6;3;300;300;rear wheel drive;6-speed manual;gas
BMW;3 Series;2010;335i xDrive;Sedan;I6;3;300;300;all wheel drive;6-speed manual;gas
